target_id	length	eff_length	est_counts	tpm
CLUG_00001T0	1842	1267.11	1843	187.965
CLUG_00002T0	1425	937.134	756	104.253
CLUG_00003T0	1767	1329.33	318	30.9144
CLUG_00004T0	1752	1236.06	180	18.8192
CLUG_00005T0	1113	542.538	296	70.5065
CLUG_00006T0	954	465.683	68	18.8706
CLUG_00007T0	1323	671.536	168	32.3301
CLUG_00008T0	1104	603.546	269	57.5982
CLUG_00009T0	873	440.728	410	120.221
CLUG_00010T0	750	379.459	453	154.277
CLUG_00011T0	1803	1338.75	879	84.8506
CLUG_00012T0	1413	863.77	174	26.0327
CLUG_00013T0	1518	895.648	559	80.657
CLUG_00014T0	1086	622.237	150	31.1532
CLUG_00015T0	1638	994.027	9	1.17007
CLUG_00016T0	951	489.353	67	17.6937
CLUG_00017T0	1008	484.025	132	35.243
CLUG_00018T0	1467	977.709	88	11.6316
CLUG_00019T0	1095	593.064	1083	235.99
CLUG_00020T0	1014	570.278	1304	295.5
CLUG_00021T0	435	229.504	217	122.19
CLUG_00022T0	990	517.794	990	247.085
CLUG_00023T0	453	226.246	1439	821.952
CLUG_00024T0	666	335.205	226	87.1294
CLUG_00025T0	1371	717.041	1299	234.117
CLUG_00026T0	4206	3100.67	1674	69.7697
CLUG_00027T0	1698	1090.04	105	12.4484
CLUG_00028T0	858	437.737	3	0.885676
CLUG_00029T0	1359	818.56	926	146.193
CLUG_00030T0	594	297.913	10073	4369.56
CLUG_00031T0	207	103.793	0	0
CLUG_00032T0	1227	1104.64	566	66.2161
CLUG_00033T0	711	362.274	88	31.3916
CLUG_00034T0	2391	1771.15	1453	106.018
CLUG_00035T0	2817	2115.95	533	32.5528
CLUG_00036T0	5670	4387.62	293	8.6299
CLUG_00037T0	1224	765.893	211	35.6026
CLUG_00038T0	798	456.261	39	11.0463
CLUG_00039T0	1191	666.946	163	31.5838
CLUG_00040T0	555	301.058	11	4.72182
CLUG_00041T0	1380	817.589	313	49.474
CLUG_00042T0	1089	528.184	1806	441.875
CLUG_00043T0	2451	2113.14	503	30.7614
CLUG_00044T0	2508	1984.76	589	38.3507
CLUG_00045T0	660	332.076	113	43.9752
CLUG_00046T0	1218	708.434	565	103.066
CLUG_00047T0	1443	832.182	361	56.0604
CLUG_00048T0	1248	749.358	945	162.971
CLUG_00049T0	1677	1067.94	1036	125.366
CLUG_00050T0	1374	729.44	443	78.4841
CLUG_00051T0	978	567.219	248	56.5026
CLUG_00052T0	4236	3384.51	2191	83.6591
CLUG_00053T0	1485	970.312	546	72.7191
CLUG_00054T0	1476	989.896	374	48.8258
CLUG_00055T0	1056	589.899	183	40.0904
CLUG_00056T0	2169	1470.15	92	8.08709
CLUG_00057T0	1629	1119.2	2771	319.961
CLUG_00058T0	930	461.782	686	191.979
CLUG_00059T0	717	361.97	163	58.1945
CLUG_00060T0	1044	669.126	366	70.6871
CLUG_00061T0	960	615.876	158	33.1536
CLUG_00062T0	1170	580.55	241	53.6469
CLUG_00063T0	3522	2820.78	480	21.9907
CLUG_00064T0	870	456.142	1092	309.378
CLUG_00065T0	1035	505.793	834	213.089
CLUG_00066T0	2259	1409.85	616	56.4644
CLUG_00067T0	513	258.377	15	7.50247
CLUG_00068T0	1251	934.663	45	6.22193
CLUG_00069T0	1290	855.801	1040	157.046
CLUG_00070T0	804	474.161	196	53.4192
CLUG_00071T0	1314	760.277	431	73.261
CLUG_00072T0	2151	1472.3	689	60.4771
CLUG_00073T0	4293	3619.82	2872	102.533
CLUG_00074T0	1359	886.374	61	8.89365
CLUG_00075T0	990	534.09	805	194.782
CLUG_00076T0	693	349.337	204	75.4664
CLUG_00077T0	1938	1186.31	270	29.4127
CLUG_00078T0	1086	613.992	4932	1038.07
CLUG_00079T0	420	209.679	14	8.62862
CLUG_00080T0	2019	1319.22	904	88.5558
CLUG_00081T0	1542	891.443	437	63.3512
CLUG_00082T0	1464	928.856	243	33.8085
CLUG_00083T0	1581	1002.31	664	85.612
CLUG_00084T0	792	401.926	486	156.264
CLUG_00085T0	723	365.14	589	208.46
CLUG_00086T0	1629	1331.33	1023	99.3016
CLUG_00087T0	1977	1361.87	509	48.3001
CLUG_00088T0	3246	2453.37	1467	77.2741
CLUG_00089T0	2217	1730.89	367	27.4009
CLUG_00090T0	1011	505.096	1087	278.114
CLUG_00091T0	960	527.093	486	119.156
CLUG_00092T0	450	224.737	315	181.135
CLUG_00093T0	1197	657.842	1303	255.97
