,U04.ctl.rep1,U04.ctl.rep2,U04.ctl.rep3,U04mrr1.ctl.rep1,U04mrr1.ctl.rep2,U04mrr1.ctl.rep3,U04.anc.ctl.rep1,U04.anc.ctl.rep2,U04.anc.ctl.rep3,U04.L1Q1.ctl.rep1,U04.L1Q1.ctl.rep2,U04.L1Q1.ctl.rep3,U04.Y813C.ctl.rep1,U04.Y813C.ctl.rep2,U04.Y813C.ctl.rep3,U04.Y8P1.ctl.rep1,U04.Y8P1.ctl.rep2,U04.Y8P1.ctl.rep3,U04.dia.rep1,U04.dia.rep2,U04.dia.rep3,U04mrr1.dia.rep1,U04mrr1.dia.rep2,U04mrr1.dia.rep3,U04.anc.dia.rep1,U04.anc.dia.rep2,U04.anc.dia.rep3,U04.L1Q1.dia.rep1,U04.L1Q1.dia.rep2,U04.L1Q1.dia.rep3,U04.Y813C.dia.rep1,U04.Y813C.dia.rep2,U04.Y813C.dia.rep3,U04.Y8P1.dia.rep1,U04.Y8P1.dia.rep2,U04.Y8P1.dia.rep3,U04.H2O2.rep1,U04.H2O2.rep2,U04.H2O2.rep3,U04mrr1.H2O2.rep1,U04mrr1.H2O2.rep2,U04mrr1.H2O2.rep3,U04.anc.H2O2.rep1,U04.anc.H2O2.rep2,U04.anc.H2O2.rep3,U04.L1Q1.H2O2.rep1,U04.L1Q1.H2O2.rep2,U04.L1Q1.H2O2.rep3,U04.Y813C.H2O2.rep1,U04.Y813C.H2O2.rep2,U04.Y813C.H2O2.rep3,U04.Y8P1.H2O2.rep1,U04.Y8P1.H2O2.rep2,U04.Y8P1.H2O2.rep3
CLUG_00012,37.87972972,37.12169028,38.10908873,33.39216601,32.81944421,30.5464571,30.59423668,32.32710535,28.29247182,28.4172642,30.88459577,31.1033523,36.89101963,31.88525637,29.91383314,26.66740706,29.96220234,27.79752695,32.62748307,34.22967737,40.64260778,33.63319348,34.17259555,33.92130895,28.94134887,30.05402718,33.52676214,24.43604633,29.89497586,31.88114366,33.52036388,36.50635725,31.99748632,22.51811278,22.10198673,27.64290061,42.84680965,42.78154659,40.13481448,54.44359567,56.44152011,43.301324,47.01698214,47.22014551,54.24934187,49.89634836,63.72407558,61.2468409,48.01845159,39.64319515,43.18548968,48.78485904,35.5995634,38.07805243
CLUG_00013,98.3617291,116.0276986,109.5414736,117.8547036,107.0950285,109.7658403,111.6625094,110.1142026,104.7128984,111.4831134,104.1413504,104.0416229,104.9409881,107.7745197,108.936209,111.7012145,107.8639284,108.3494846,124.9563181,131.6103638,125.8962934,128.9562859,127.3412759,132.4613097,132.8671017,138.7740599,144.4786369,130.8584537,146.9366266,141.6258497,125.851009,127.7722504,111.9116064,139.0060424,136.3650879,142.089676,242.5085927,224.4013199,219.795895,216.1410748,247.9600341,213.8336987,209.1348849,202.292221,230.1794506,224.0083429,226.9747992,228.7630349,173.9962716,190.2873367,158.8962292,235.0543208,210.6633504,180.821931
CLUG_00014,32.2291623,33.53505354,33.85505092,32.63668714,33.01137078,35.80537096,29.69060943,32.47142279,27.67741809,31.39809611,30.31963366,34.55928033,34.83335319,32.23822969,29.16598731,28.8477611,30.26950698,25.36270707,36.61914323,36.97537342,36.26360627,36.24717225,31.27114876,37.4255764,41.30719794,38.59396933,36.6623586,36.31150809,42.30421112,40.15797904,36.66289799,32.55972404,31.5199119,36.0867192,35.8636011,35.9099363,53.93913093,59.32912593,53.58312928,47.36592824,52.99763075,47.31070585,46.17988453,57.83769303,51.2073227,53.17900286,57.64439346,47.25335739,34.08368525,50.30584764,38.57024651,50.01679992,52.61693711,50.18492038
CLUG_00015,3.13920412,2.510645719,7.799069321,4.381777441,1.727339169,3.021078174,1.936344094,4.762475342,2.767741809,3.974442546,4.708017649,3.637818982,3.08649965,4.118022041,3.863870114,7.88281844,7.836268305,5.072541415,1.735504419,1.464371224,3.147407336,1.742652512,2.579063815,2.803413963,3.551892816,3.120363478,3.617995915,3.197239706,1.974196519,1.532747292,2.693600669,4.933291521,3.502212433,5.773875073,5.629751336,5.683587041,3.914936922,4.439594458,5.253247969,23.9551821,9.183704967,6.815949147,5.859683234,9.220501787,9.633060706,7.615758434,22.96768802,6.489731487,7.343998478,10.38925114,7.911845438,15.27606697,17.6041797,15.42649304
CLUG_00016,16.95170225,13.62921962,16.48439652,18.58478018,22.83926235,21.48322257,21.17069542,23.95669415,21.8344076,21.06454549,22.41016401,22.55447769,20.28271199,22.23731902,17.94829989,34.71794504,34.11081497,33.27587168,19.0905486,19.40291872,18.47391263,24.91993092,22.56680838,22.1469703,23.1530791,26.27674508,21.70797549,25.12116912,26.51063897,29.12219854,20.3516495,18.4998432,24.03791261,33.34412854,32.52745216,44.43531687,43.71679563,38.94735138,44.96780261,43.55487654,42.28330829,44.77143067,46.59843334,47.49955466,55.51684986,54.36075848,58.77026051,58.40758338,63.27137151,72.99815935,50.10835444,99.78721167,90.75932646,78.30409756
CLUG_00017,38.71685081,36.94235844,36.8683277,33.08997447,36.84990227,38.60266556,32.40149116,38.09980274,33.52042857,37.1610378,35.21597201,33.83171653,43.94587597,40.94490486,41.0068796,44.61339798,37.95212297,43.62385617,40.78435384,40.27020867,37.63204424,33.63319348,33.5278296,36.72472291,36.96599561,39.25088796,32.56196323,35.39801103,36.66364964,41.69072633,38.75792074,35.76636352,41.23059183,43.5927568,40.24229659,41.85186821,53.28664144,45.60674307,43.07663335,40.2882608,41.90065391,40.22746458,41.1572989,34.0879157,42.84176998,42.14928375,50.43884427,42.79166699,48.58337455,48.93884091,47.47107263,45.33542456,50.66091714,48.23219974
CLUG_00018,26.57859488,22.59581147,29.60101311,30.21915476,28.59705957,28.97997212,27.49608613,27.99758232,29.83010616,26.82748718,29.00138871,29.46633375,23.95711633,21.76668793,22.18609291,23.81617486,25.35263275,23.33369051,30.54487777,20.86728995,25.72663388,27.01111394,29.65923388,28.31448102,23.94238861,29.2328789,31.35596459,23.75092353,27.63875127,29.428748,22.44667224,20.71982439,21.6500405,25.40505032,25.43813567,21.7009687,12.83229324,17.35477833,16.8103935,26.94957986,19.89802743,19.37867895,19.67179371,19.27923101,14.19608946,17.98894665,23.86838166,16.62993693,19.7723036,20.77850229,21.75757495,17.73994874,16.23496572,21.67519907
CLUG_00019,257.8332984,254.292545,230.2497966,176.1776723,208.8161129,206.7760173,165.4928752,171.3047949,172.5225728,171.2984737,175.3265772,160.0640352,205.0317625,218.0198526,197.4312987,164.7005895,165.790853,167.5967683,324.8864272,332.5953144,328.6988009,347.4849109,352.2034023,362.7617668,483.1889746,445.0623698,424.9939201,529.5999199,502.009972,548.4169809,292.1060281,291.0641997,332.2326068,434.9171398,407.0101707,406.1181286,627.912383,487.3463916,511.4562223,362.8665652,546.0477912,450.520874,390.7850652,381.1140739,381.2664027,351.6379498,382.7948003,378.2296632,304.4934754,384.949095,294.7162426,272.5053237,285.7745172,282.5586762
CLUG_00020,303.247118,287.4689349,241.771149,254.8985704,294.7992182,284.6526991,310.3314134,306.9631834,303.0677281,306.8269645,298.4883189,296.482247,266.4678031,304.3806577,273.8362142,257.6172154,262.2845097,248.3516277,218.3264559,255.3497323,255.6242132,264.5346513,279.3448495,230.300457,248.8956003,266.7089626,261.4605048,237.9659838,244.8003683,220.4090605,240.179393,221.5047893,241.9710409,275.413841,241.8707981,239.2273454,73.73131203,76.28030477,103.8041799,89.83193286,100.2554459,116.5393658,90.54605759,96.95497333,80.61350801,87.05599728,62.14786169,77.47116962,115.0559762,86.94162799,148.347102,98.3088826,100.1482223,116.9679662
CLUG_00021,80.9914663,83.92729976,77.10443534,83.1026756,87.71044447,84.25451353,76.16286768,79.08595417,81.95591023,85.45051473,87.94576967,82.214709,77.75039595,79.18368096,77.52668423,78.15730623,81.58938176,79.74035104,90.94043153,83.8352526,89.22215579,88.52674761,88.49412716,97.97931799,77.7469872,77.68062764,78.14871176,88.38084045,93.91534869,87.06004616,71.82935117,77.45267687,83.41633251,79.679476,79.44204663,94.81256564,133.3253519,135.0040315,135.1135378,106.1650116,143.8780445,141.1302412,111.4734977,164.2925773,129.2858147,116.8625001,120.242602,121.074053,96.97844145,123.5774083,109.117535,110.3819033,126.9456958,107.9854512
CLUG_00022,262.0189039,231.6967335,219.2601989,214.8581904,239.5243648,231.0565345,233.7812769,258.9054777,249.2505262,242.8384395,256.8694429,235.0031062,247.6548529,264.1416995,254.3922227,244.7028107,245.8437115,251.8009558,269.6973866,275.8509294,249.4662423,261.2236116,266.1271474,243.336332,238.1083703,239.2826099,236.3757331,222.6649081,230.6989646,224.3942035,251.4027291,244.4445948,278.266697,236.0071436,207.2582529,230.1852752,261.2132913,243.5722959,247.5330443,213.691113,247.1947254,272.2370277,233.1316829,261.5269598,231.9539617,240.5529216,225.6237588,253.9107444,270.0331748,280.2363795,256.8053165,240.9676371,259.9550536,275.5288819
CLUG_00023,639.9790799,546.7827713,494.5318956,557.0901181,588.0630237,586.9843001,546.178124,574.8163421,564.4655656,579.6724453,587.1839611,592.2369303,536.1690821,550.1677447,531.5937432,580.1418933,541.7780793,528.1530121,586.0798421,604.7853157,593.6283924,635.5453711,609.6262094,617.1715839,703.4063292,713.5778585,708.6447998,743.1298574,759.7836317,785.9928111,592.5921472,564.6152145,649.9787894,739.4890499,722.0677362,742.2247986,1024.625991,953.1002102,900.4067019,788.8877013,934.4419804,945.9468248,982.7525881,1538.147344,997.7822879,910.3457453,994.5909605,894.3661205,608.2337201,909.3328764,650.7492873,774.6444283,891.1626969,807.4499836
CLUG_00024,70.10889201,69.93941647,61.15179354,69.50405596,68.90164018,62.32372382,64.54480312,65.23148045,66.73333028,67.36680115,60.63926731,66.39019642,70.25461108,70.35934801,69.17573914,62.89482798,69.60450082,59.45018538,74.27958911,72.66942201,63.76920951,61.16710317,67.70042515,64.33835044,71.69561426,76.6952497,75.49551475,86.78222059,91.09506794,86.44694725,67.63930569,66.10610637,80.39169449,83.86553543,70.05912774,82.67035696,88.95606673,93.23148361,87.4140462,69.1433665,84.75794376,79.2521146,99.75413124,128.5282067,97.59811505,83.6420366,95.02317984,83.14968467,76.64121489,92.40965491,80.10743506,96.33777719,91.93293844,79.67100201
CLUG_00025,286.2954158,290.3382442,274.5626904,252.3299423,301.3247217,287.8975609,342.6038149,332.2187345,329.3612753,327.2953436,340.2955156,319.5823976,303.5057989,308.7339953,302.3789967,322.6923974,327.1257886,311.0482396,227.5246293,245.8313193,257.6768702,261.3978768,256.2944667,237.0286505,298.227445,301.3614201,289.6808729,270.3951294,277.797653,277.7338092,294.0514064,294.7641683,284.315973,306.3040726,278.9854551,294.7714915,112.4456883,118.0528526,122.7158726,129.0313217,135.2683211,151.0200497,139.3767512,136.0722536,121.4272652,140.4976125,103.5797695,121.074053,173.9962716,132.3262514,194.1698735,166.0656313,170.3693391,183.5557399
CLUG_00026,302.2007166,305.4021186,318.5210811,286.9308745,325.5074701,304.0099778,369.7126323,350.2584138,338.2795544,344.3854466,340.4838363,343.5920029,320.9959636,328.1475278,325.5622174,303.0692111,330.198835,310.8453379,262.9289194,291.4098737,271.4980937,297.2965186,275.1538708,263.9414246,362.687722,353.9149103,342.9860127,316.2983566,309.1027692,316.359041,362.4389345,343.6037544,312.8112469,362.5993546,344.457378,348.2488787,113.7506672,131.5734357,140.9971755,200.3524321,142.347427,145.005977,133.0985192,51.97010098,127.7648052,127.4983007,79.03586759,127.7665886,164.2042737,127.9518299,193.510553,160.8914795,153.3519654,187.4611812
CLUG_00027,16.74242197,19.36783841,20.91568591,14.05190696,14.2025665,12.0843127,14.4580359,13.42152142,15.53010682,12.91693827,14.12405295,14.18749403,22.34037842,20.70776798,19.31935057,26.16424844,25.65993739,21.5075756,15.61953977,16.65722268,12.86331694,9.933119319,9.349106331,9.952119567,15.52308712,11.82453529,16.88398094,11.41871324,14.38343178,14.10127508,19.60342709,18.4998432,20.21731723,26.41547846,20.43391226,19.89255464,27.83955145,21.3907733,29.83844846,32.6661574,19.70670024,20.98243169,18.55566357,21.79391331,21.29413419,25.73601126,29.27254355,20.68601911,45.00552914,35.81557631,34.61432379,39.17572014,33.05673744,35.34424354
CLUG_00028,0.209280275,0.896659185,3.013276783,2.115340833,1.151559446,0.335675353,1.161806456,0.721587173,0.615053735,0.596166382,0.94160353,0,0.881857043,1.058919953,0.747845829,0.167719541,0.768261598,1.21740994,0.520651326,1.098278418,1.094750378,1.045591507,1.450723396,0.280341396,0.920861101,0.328459313,0.723599183,1.141871324,0.846084222,0.919648375,1.795733779,0.246664576,1.11434032,0.288693754,1.66807447,0.516689731,1.52247547,1.00899874,0.210129919,9.799847221,0.765308747,1.069168494,0.55806507,1.955864015,1.521009585,2.363511238,5.629335298,1.216824654,1.883076533,2.460612113,2.637281813,0.985552708,1.956019967,0.781088255
CLUG_00029,169.935583,191.1677383,188.5956763,146.5629006,167.1680462,170.5230792,180.2090903,193.6739973,171.1387019,159.3751461,167.793749,167.1577822,200.7694534,181.5459431,194.8138383,152.1216239,158.5691939,164.1474402,177.8892029,194.5783265,186.3812518,164.3321319,171.8301267,165.5415945,196.5380692,201.1813295,192.2361829,178.1319265,178.5237709,174.4266418,198.7278716,176.3651719,196.4422792,154.7398519,153.0458326,152.6818155,172.2572246,151.7534106,173.1470531,151.8976319,170.6638506,162.7809032,185.696152,170.9983968,156.6639873,167.6779917,161.8996832,165.8937611,191.6971911,181.5384937,175.0495803,183.3128037,170.9561451,182.5793796
CLUG_00030,3300.977772,3007.753572,2594.608562,2622.720442,3136.272151,2904.710719,3053.098277,3142.367821,3039.59556,3030.512441,3116.707683,2985.558039,2805.481206,3031.923142,2747.08701,2721.249557,2756.061658,2661.663931,2637.966716,2664.423443,2631.369377,2823.968396,2586.156241,2497.70167,2968.19843,2962.046089,2993.04742,2696.414944,2694.778248,2739.939058,2900.110054,2703.443753,3137.027192,2790.225129,2506.69891,2469.776914,1264.742122,1320.981151,1454.729428,1198.847977,1353.257192,1710.66959,1740.604953,2213.758656,1401.356831,1611.783358,1402.605183,1443.559648,1837.317773,1702.470181,2175.427835,1652.032726,1763.547602,1980.253998
CLUG_00031,49.5994251,41.78431804,32.61428989,37.16956036,48.17357016,41.73563552,44.01955573,48.20202316,45.05268611,43.32142375,43.87872448,39.10655406,37.0379958,40.12130046,36.51980463,38.74321403,34.72542425,32.87006837,48.24702284,41.55153349,45.15845308,48.79427034,47.06791463,48.63923225,46.70081296,43.68508869,41.96875261,52.06933236,52.17519371,58.55094654,40.25436555,40.69965504,42.34493215,38.39626923,39.40825935,34.10152225,50.2416905,51.25713601,52.11221985,43.82709452,61.60735415,55.8640538,55.38795819,61.47001191,48.16530353,48.9772051,47.51158992,51.71504778,36.53168474,44.56441938,42.85582946,42.13237826,56.52897704,53.11400134
CLUG_00032,147.7518739,133.6022186,161.6534368,187.9631426,147.0157559,154.8582294,194.0216782,195.1171716,202.045152,211.4403434,214.4972841,206.2643363,178.429075,182.6048631,199.7994772,212.1652197,203.4356713,196.8146069,113.3284385,124.2885077,137.5280162,153.3534211,153.131914,164.5603996,147.6008793,150.4343656,154.6090254,147.9865235,140.732009,146.2240916,139.4686569,140.3521438,131.6513492,159.5032989,149.2926651,166.8907831,153.117533,157.2020038,149.1922423,176.39725,170.4725235,182.6941664,179.1388874,152.2779841,186.0701726,177.1320367,156.7206947,192.4610994,137.2762792,141.6218972,140.4352565,186.51585,197.3624147,180.4313869
CLUG_00033,26.78787516,23.49247066,23.75171111,24.47751536,28.21320643,24.95186789,22.8488603,22.36920237,24.60214941,23.05176677,25.04665389,26.01040572,20.13573581,26.00236774,21.56288806,23.31301624,23.50880491,25.76851039,17.70214507,17.9385475,20.25288199,20.91183014,20.9548935,21.44611681,19.4696347,20.20024778,23.63757331,21.92392941,22.56224593,17.16676967,21.24951639,19.48650151,20.3765087,22.66245966,23.14453327,23.76772763,16.52973367,18.36377708,18.49143285,16.06086072,18.75006431,18.57680258,19.53227745,13.69104811,17.74511183,19.82723317,17.33835272,18.45517391,15.62953522,17.22428479,14.50504997,17.98633692,18.19098569,16.01230923
CLUG_00034,286.7139763,305.7607822,302.0366846,253.2365169,271.9599558,267.7570397,274.057234,269.296333,267.8559017,271.0569816,265.5321954,264.8332219,303.6527751,291.0853294,299.7615363,261.3070453,277.1887847,298.4683368,338.7704625,318.8668341,330.3409265,289.1060517,297.3982962,296.8815386,323.6169011,317.6201561,320.554438,330.2291868,329.4087906,362.6480092,333.707194,323.6239237,334.9388618,366.9297609,349.0445828,390.1007469,843.4514102,788.8352152,756.2575776,573.8354984,638.2674952,619.31585,668.2829212,599.6120253,738.9571568,693.1653237,640.3931835,713.6676594,648.9081732,751.3068985,614.4866624,662.2914196,729.0086416,641.4687294
CLUG_00035,112.5927878,110.2890798,109.0097189,102.4429346,118.8025495,116.4793474,99.26990719,103.6199181,98.56236108,100.7521185,102.0698226,101.8589315,107.7335354,110.5983062,107.8144403,110.3594582,112.934455,110.1755995,123.2208137,119.1632084,112.4856013,118.1518403,117.1862121,120.6869711,116.4231534,114.9607597,107.5750785,109.8480213,119.0158473,120.7804866,112.9815836,111.4923884,121.9406693,113.0236045,115.0971384,109.7965678,132.0203729,113.8150579,120.8247033,118.9592565,123.4060355,116.5393658,113.2872092,97.23438248,124.9762876,122.7712782,118.6663881,141.7600722,129.5556655,133.1464554,114.7217589,122.9477003,125.1852779,124.5835767
CLUG_00036,54.83143196,56.66886052,67.53285026,61.49597994,51.82017507,59.638321,60.80120454,53.39745081,56.43118021,62.5974701,49.34002496,57.65943087,58.9374457,62.00564616,58.95517949,61.72079119,67.45336835,68.37785827,60.91620509,68.45935474,64.3165847,62.03842943,74.30927618,69.24432488,78.40474513,78.99446489,78.63111121,71.02439633,83.76233802,83.0749032,72.87686254,82.63263297,67.33799361,84.44292294,85.48881658,83.96208129,177.9121335,159.6236007,149.6125022,182.3860455,149.2352057,130.7058484,160.8622564,115.9547952,172.6345879,176.2128934,173.6087006,184.7545433,160.8147359,160.48659,119.337002,183.0664155,183.2790709,161.4899967
CLUG_00037,40.39109301,47.52293683,49.27593798,50.46598845,49.13320303,47.44211652,44.66500376,42.28500834,47.35913762,48.68692119,49.71666637,51.29324765,54.23420814,49.76923781,48.8592608,53.67025321,56.23674901,48.89929924,48.24702284,53.8156425,45.84267207,53.32516687,44.16646784,54.24606018,43.14892014,44.01354801,45.10434907,45.67485294,41.4581269,45.36931983,47.88623411,46.37294029,49.19016554,53.26399754,47.54012239,42.62690281,48.71921503,42.98334634,44.7576727,49.27145408,36.16083831,43.03403187,45.4823032,41.07314432,43.09527158,43.19973319,47.28641651,41.16923412,45.5704521,47.57183418,42.196509,41.88599008,43.22804127,37.49223624
