,U04.ctl.rep1,U04.ctl.rep2,U04.ctl.rep3,U04mrr1.ctl.rep1,U04mrr1.ctl.rep2,U04mrr1.ctl.rep3,U04.anc.ctl.rep1,U04.anc.ctl.rep2,U04.anc.ctl.rep3,U04.L1Q1.ctl.rep1,U04.L1Q1.ctl.rep2,U04.L1Q1.ctl.rep3,U04.Y813C.ctl.rep1,U04.Y813C.ctl.rep2,U04.Y813C.ctl.rep3,U04.Y8P1.ctl.rep1,U04.Y8P1.ctl.rep2,U04.Y8P1.ctl.rep3,U04.dia.rep1,U04.dia.rep2,U04.dia.rep3,U04mrr1.dia.rep1,U04mrr1.dia.rep2,U04mrr1.dia.rep3,U04.anc.dia.rep1,U04.anc.dia.rep2,U04.anc.dia.rep3,U04.L1Q1.dia.rep1,U04.L1Q1.dia.rep2,U04.L1Q1.dia.rep3,U04.Y813C.dia.rep1,U04.Y813C.dia.rep2,U04.Y813C.dia.rep3,U04.Y8P1.dia.rep1,U04.Y8P1.dia.rep2,U04.Y8P1.dia.rep3,U04.H2O2.rep1,U04.H2O2.rep2,U04.H2O2.rep3,U04mrr1.H2O2.rep1,U04mrr1.H2O2.rep2,U04mrr1.H2O2.rep3,U04.anc.H2O2.rep1,U04.anc.H2O2.rep2,U04.anc.H2O2.rep3,U04.L1Q1.H2O2.rep1,U04.L1Q1.H2O2.rep2,U04.L1Q1.H2O2.rep3,U04.Y813C.H2O2.rep1,U04.Y813C.H2O2.rep2,U04.Y813C.H2O2.rep3,U04.Y8P1.H2O2.rep1,U04.Y8P1.H2O2.rep2,U04.Y8P1.H2O2.rep3
CLUG_00001,341.1268477,352.3870599,334.2964714,303.8536011,316.2949945,290.5829637,291.6134205,279.9758232,280.3107399,281.5892544,278.3380034,277.2018064,309.5318221,314.2639106,294.2773335,305.5850042,295.7807154,284.0623192,346.0595811,346.6898874,342.5200245,296.250927,296.9147217,301.0866596,284.2829769,275.2489047,280.2740835,281.3570941,272.1570915,275.8945125,336.1015057,319.430626,337.6451169,278.4451254,291.2875043,266.8702461,216.4090132,210.678937,224.8390131,201.169086,222.3221911,217.0412042,217.2268285,198.1010838,204.068786,198.1410255,175.4100879,199.3564391,236.7027202,208.6052269,228.1248768,213.1257731,191.8855587,218.5094393
CLUG_00002,157.1694863,156.7360256,157.0448959,170.2849371,163.1375882,165.8236242,158.005678,157.5946386,140.3860151,157.7853691,163.0857313,165.8845456,143.742698,154.0140243,142.8385533,147.7609159,153.9596243,160.698112,158.278003,149.9150041,162.5704311,159.2784396,167.4779565,159.6544252,158.3881093,162.4231305,145.202236,159.4052368,164.9864234,153.5812786,160.2692398,150.4653914,151.391092,146.6564268,152.8373233,153.4568501,153.7700224,145.4976184,142.0478251,153.5309398,176.0210119,169.1959141,166.3033908,164.0131681,168.3250608,168.7284412,160.7738161,166.5021735,142.3605859,147.6367268,143.7318588,164.0945259,154.5255774,160.1230923
CLUG_00003,59.22631773,66.53211156,65.58308293,67.84200244,66.21466814,67.02317876,63.89935509,60.0360528,54.89354588,59.02047181,52.72979766,60.56968605,69.96065874,68.82979697,55.71451423,56.01832678,68.83623923,69.1894649,77.75059795,66.44584431,64.45342849,70.92595724,62.8646805,65.59988672,64.32872545,58.4657578,57.64673491,67.82715662,64.02037283,57.93784762,59.70814816,62.15947316,65.42769592,64.66740081,66.51446949,59.9360088,83.08366135,75.67490553,67.45170392,69.41558448,66.7731882,67.49126117,64.3169993,57.27887474,66.92442175,70.24880625,68.0023704,61.0440368,70.42706233,74.09176474,73.1845703,62.33620877,72.76394277,67.17358993
CLUG_00004,33.0662834,37.65968579,33.32329619,42.76010399,33.77907708,43.41401229,44.92318297,46.47021395,40.4397831,44.91120077,36.34589625,38.74277216,44.82773301,51.18113108,45.74323652,79.83450165,78.51633537,85.82740074,35.92494146,37.89060543,38.58995082,35.02731549,47.06791463,41.91103874,47.35857089,47.62660046,47.75754607,49.78558971,47.66274453,56.71164979,49.98125686,52.29289012,48.2350167,75.49341657,69.64210912,84.22042615,65.03145221,65.98851762,61.35793628,56.34912152,57.58948323,59.60614352,87.89524851,53.36714671,69.20593613,84.9550984,79.03586759,85.17772576,102.627671,124.124211,86.70063959,151.2823406,150.8091394,138.6431653
CLUG_00005,57.13351499,69.58075279,64.87407663,61.34488417,64.10347583,65.12101843,65.31934075,58.01560872,62.12042727,57.62941691,59.13270167,59.11455846,65.6983497,62.82925057,66.43363777,61.04991302,71.44832866,59.24728373,69.76727763,60.22226661,67.73767963,57.15900239,71.56902088,69.24432488,58.27735251,65.19917373,55.47593736,57.32194044,71.35310276,57.93784762,63.00032676,54.75953588,61.44790906,60.04830075,56.29751336,65.10290611,51.11167648,58.72372669,55.68442847,59.61573726,62.56399009,61.47718839,58.03876727,55.04360158,57.03785944,59.74431186,55.61783275,60.23282036,61.76491028,64.52271763,54.39393739,62.33620877,61.61462896,61.12015595
CLUG_00006,23.85795131,21.51982045,31.72803201,33.54326179,27.6374267,30.43456531,29.94878865,24.96691619,22.75698821,25.83387655,25.79993671,25.64662382,25.86780659,23.53155452,24.67891234,25.49337027,26.12089435,31.24685512,31.23907953,25.62649643,29.28457261,27.01111394,23.21157434,31.95891917,29.99376156,22.66369263,25.80837086,26.71978897,24.25441438,23.60430829,24.3920505,34.28637607,23.71952966,25.5493972,24.81260774,27.12621088,20.44467059,21.3907733,21.43325171,26.67736188,27.35978771,18.44315652,17.1605009,12.85282067,20.0266262,27.04907306,24.76907531,21.49723555,24.85661023,23.2391144,26.37281813,28.58102853,26.21066756,23.62791971
CLUG_00007,39.34469164,39.27367232,42.71762969,41.70243357,38.00146172,38.60266556,39.75959872,44.16113499,36.74946068,31.19937398,44.2553659,39.28844501,42.91704275,38.00346055,38.63870114,43.94251981,44.09821575,37.73970813,44.60246356,40.27020867,39.00048221,38.86115102,42.23216998,38.26660059,43.01736855,43.02817007,38.3507567,39.5087478,39.2019023,44.75622091,43.24725518,46.12627572,39.63867709,41.57190052,36.07211041,39.01007469,42.19432016,41.5707481,35.30182635,44.91596643,38.64809174,39.29194214,42.83149411,52.24951013,42.84176998,46.08846915,49.31297721,40.56082179,48.3950669,51.67285437,38.89990674,46.07458909,40.88081731,39.05441275
CLUG_00008,51.27366729,57.56551971,55.12523998,51.22146732,59.11338489,57.5123771,50.34494643,52.9644985,52.43333094,56.43708415,54.23636331,54.20350283,53.64630344,56.35807307,54.84202743,49.64498422,52.85639798,47.6818893,57.96584758,60.77140582,51.45326776,58.2045939,62.38110603,58.03066903,56.17252713,56.16654261,52.3403409,53.21120368,67.96876587,55.79200141,55.96703612,51.30623181,51.25965471,63.5126258,57.54856921,53.99407689,44.80427811,45.60674307,47.0691018,44.64374845,54.33692106,54.92853136,43.52907545,47.7789638,43.60227478,46.61369387,44.13398874,39.14119303,40.86276076,45.38462342,49.44903399,47.0601418,42.83683727,49.59910419
CLUG_00009,109.2443034,107.4197704,107.5917063,106.5225205,110.93356,106.4090868,112.8243158,115.1653128,115.4763388,109.4958921,122.5967796,119.5023536,105.0879643,111.5395684,108.936209,101.4703225,100.949574,91.50864712,94.06433949,107.0821458,102.7696917,107.6959252,107.6759143,98.11948869,110.6348837,117.4242046,120.3586641,104.5954132,106.0425559,94.1106837,104.4518482,101.1324762,98.38033108,104.0740982,104.2546544,101.5295321,50.89417999,60.94352392,65.35040473,57.71021141,61.03337259,70.56512058,58.87586487,73.48460515,65.40341216,63.55219107,52.9157518,56.37954229,74.1932154,58.50788802,74.83287144,75.14839397,67.48268886,68.14995024
CLUG_00010,110.9185456,105.626452,105.641939,116.7970332,110.93356,113.4582692,107.4025524,107.9494411,108.095694,104.527839,101.6931812,110.4078061,81.13084795,96.83234685,101.8316737,87.54960054,84.96973279,74.66780963,107.9483748,113.6718163,104.6855049,120.4172886,111.3833185,114.6596311,113.6605701,107.8988845,118.4290663,114.6438809,129.7329141,111.5840028,107.1454488,107.2990906,90.57994885,113.3122983,111.1354616,106.1797397,51.11167648,60.94352392,61.14780636,65.33231481,64.85991633,66.6893848,61.80570649,79.91101549,61.3473866,58.03733152,53.81644545,52.32346011,57.43383425,59.05469071,70.54728849,55.68372799,64.15745491,60.14379563
CLUG_00011,199.8626623,194.5750432,199.4080224,202.0150496,208.8161129,200.3981856,191.0526172,196.1273936,194.2032169,195.9400175,193.7820064,196.8060069,202.974096,197.9003735,209.7707549,190.6971184,186.2266115,193.1623771,197.5004028,210.6864099,194.4550359,203.1932829,194.7193181,193.2953927,176.4106765,181.6380004,173.4226042,169.6820787,161.3200584,174.1200923,182.715912,198.3183191,191.0297691,185.7744305,178.6924776,183.6831994,131.5853799,133.1878337,140.1566558,136.9256431,151.7224591,141.2638872,138.2606211,131.8811165,128.0183068,137.8714889,115.5139603,123.1020941,158.3667364,138.341081,163.8411326,163.3553613,135.5521837,155.8271069
