target_id	length	eff_length	est_counts	tpm
CLUG_00001T0	1842	1303.46	1493	112.334
CLUG_00002T0	1425	934.271	1044	109.591
CLUG_00003T0	1767	1324.99	414	30.6433
CLUG_00004T0	1752	1241.01	367	29.0026
CLUG_00005T0	1113	563.385	350	60.927
CLUG_00006T0	954	491.042	90	17.9751
CLUG_00007T0	1323	673.469	222	32.3283
CLUG_00008T0	1104	628.583	338	52.7353
CLUG_00009T0	873	443.156	396	87.6366
CLUG_00010T0	750	379.459	369	95.3693
CLUG_00011T0	1803	1325.4	847	62.6733
CLUG_00012T0	1413	860.19	258	29.4153
CLUG_00013T0	1518	882.066	1363	151.545
CLUG_00014T0	1086	621.963	272	42.8896
CLUG_00015T0	1638	989.451	34	3.37002
CLUG_00016T0	951	489.353	259	51.9069
CLUG_00017T0	1008	525.568	193	36.0144
CLUG_00018T0	1467	966.251	94	9.54081
CLUG_00019T0	1095	593.819	2545	420.321
CLUG_00020T0	1014	578.109	707	119.938
CLUG_00021T0	435	230.722	476	202.333
CLUG_00022T0	990	507.864	1513	292.172
CLUG_00023T0	453	226.246	3157	1368.49
CLUG_00024T0	666	335.205	360	105.327
CLUG_00025T0	1371	722.336	930	126.267
CLUG_00026T0	4206	3133.02	1026	32.1168
CLUG_00027T0	1698	1213.04	144	11.6422
CLUG_00028T0	858	437.737	4	0.896177
CLUG_00029T0	1359	825.863	1028	122.077
CLUG_00030T0	594	297.913	7902	2601.33
CLUG_00031T0	207	103.793	0	0
CLUG_00032T0	1227	1077.17	1044	95.0522
CLUG_00033T0	711	355.769	93	25.6367
CLUG_00034T0	2391	1772.72	4029	222.896
CLUG_00035T0	2817	2309.01	761	32.3226
CLUG_00036T0	5670	4450.48	879	19.37
CLUG_00037T0	1224	768.949	227	28.9518
CLUG_00038T0	798	449.663	66	14.3947
CLUG_00039T0	1191	658.191	231	34.4197
CLUG_00040T0	555	291.938	15	5.03903
CLUG_00041T0	1380	811.618	355	42.8967
CLUG_00042T0	1089	529.013	1655	306.817
CLUG_00043T0	2451	2310.26	623	26.4469
CLUG_00044T0	2508	2053.33	764	36.4906
CLUG_00045T0	660	332.076	206	60.8382
CLUG_00046T0	1218	700.425	600	84.0112
CLUG_00047T0	1443	855.398	381	43.6822
CLUG_00048T0	1248	749.699	1754	229.451
CLUG_00049T0	1677	1061.29	1504	138.983
CLUG_00050T0	1374	731.071	750	100.612
CLUG_00051T0	978	559.681	446	78.1523
CLUG_00052T0	4236	3440.46	1931	55.0444
CLUG_00053T0	1485	961.952	731	74.5266
CLUG_00054T0	1476	1009.14	184	17.882
CLUG_00055T0	1056	582.489	193	32.495
CLUG_00056T0	2169	1474.38	99	6.58528
